,Cookware,Dietary,protiens,fruit,veggies,dairy,wheat,, links
Perfect Pan Fried Tofu,skillet,"Vegan,gluten free, kosher, halal, dairy free",tofu,,,,,,https://www.acouplecooks.com/pan-fried-tofu/
Easy Baked Tofu,oven,"Vegan,gluten free, kosher, halal, dairy free",tofu,,,,,,https://www.acouplecooks.com/baked-tofu/
"Sautéed Apple, Onion, and Fennel",skillet,"Vegan,gluten free, kosher, halal, dairy free",,apple,onion,,,,https://www.allrecipes.com/recipe/8509659/sauteed-apple-onion-and-fennel/
Old Fashioned Easy Apple Crisp,skillet oven,"khoser, peanut free, vegetarian",,apple,,butter,flour,,https://www.thechunkychef.com/old-fashioned-easy-apple-crisp/
French Apple Cake,oven,"khoser, peanut free, vegetarian",,apple,,butter,flour,,https://www.onceuponachef.com/recipes/french-apple-cake.html
BLUEBERRY PIE BARS,oven,"khoser, peanut free, vegetarian",egg,blueberry,,butter,flour,,https://www.averiecooks.com/blueberry-pie-bars/
Quick and Easy Blueberry Muffins,oven,"khoser, peanut free, vegetarian",egg,blueberry,,butter,flour,,https://www.inspiredtaste.net/18982/our-favorite-easy-blueberry-muffin-recipe/
Blueberry Breakfast Cake,oven,"khoser, peanut free, vegetarian",egg,blueberry,,milk,flour,,https://amandascookin.com/blueberry-breakfast-cake/
Peach Bourbon BBQ Sauce,pot,"vegetarian, khoser, halal, dairy free, preanut free",,peach,,,,,https://www.allrecipes.com/recipe/8500498/peach-bourbon-bbq-sauce/
Air Fryer Grilled Peaches,oven,"vegetarian, khoser,halal, peanut free",,peach,,,oats,,https://www.allrecipes.com/recipe/8468500/air-fryer-grilled-peaches/
Peach Cobbler,oven,"vegetarian, khoser,halal, peanut free",,peach,,"milk,butter",,,https://tastesbetterfromscratch.com/peach-cobbler/
Three Berry Pie,oven,"vegetarian, khoser,halal, peanut free",,"peach, blueberries, strawberries",,,flour,,https://www.allrecipes.com/recipe/12384/three-berry-pie/
Raspberry and Almond Shortbread Thumbprints,oven,"vegetarian, khoser,halal",,raspberry,,butter,flour,,https://www.allrecipes.com/recipe/10222/raspberry-and-almond-shortbread-thumbprints/
Fresh Raspberry Sauce,pot,"vegetarian, khoser,halal",,raspberry,,,,,https://www.allrecipes.com/recipe/241308/fresh-raspberry-sauce/
Blackberry Puff Pastry Turnover Recipe,oven,"vegetarian, khoser,halal",egg,blackberries,,"heavy cream,milk",,,https://www.driscolls.com/recipes/easy-blackberry-turnovers-recipe
Blackberry Muffins,oven,"vegetarian, khoser,halal",egg,blackberries,,"butter, milk",flour,,https://www.simplyrecipes.com/recipes/blackberry_muffins/
Frozen Banana Treat with Chocolate,,"vegan,khoser, halal, gluten free,dairy free",,banana,,,oats,,https://www.forksoverknives.com/recipes/vegan-desserts/frozen-chocolate-banana-treats-ice-cream/
Strawberry pie,oven,"vegan,khoser,gluten free,dairy free",,strawberries,,,,,https://www.thepioneerwoman.com/food-cooking/recipes/a35917337/easy-strawberry-pie/
Sweet Strawberries,,"vegan,khoser, halal, gluten free,dairy free",,strawberries,,,,,https://www.thepioneerwoman.com/food-cooking/recipes/a32336546/sweet-strawberries-recipe/
Strawberry and coconut bircher muesli,,"vegetarian ,khoser, halal, gluten free,",,strawberries,,,oats,,https://www.taste.com.au/recipes/strawberry-coconut-bircher-muesli/ka56byu6?r=recipes/9xs1wzhc
Caramelize Onions,skillet,"kosher,gluten free, peanut free, dairy free, vegan",,,onion,,,,https://www.simplyrecipes.com/recipes/how_to_caramelize_onions/
MARINATED ROASTED ONIONS,skillet,"vegetarian, khoser,halal",,,onion,butter,,,https://keviniscooking.com/roasted-onions/
SAUTEED PEPPERS AND ONIONS,skillet,"kosher,gluten free, peanut free, dairy free, vegan",,,"pepper,onion",,,,https://www.isabeleats.com/sauteed-peppers-and-onions/
Pan-Roasted Peppers,skillet,"kosher,gluten free, peanut free, dairy free, vegan",,,"pepper,onion",,,,https://www.thespruceeats.com/pan-roasted-peppers-482763
Stuffed Peppers,oven,"kosher,halal,gluten free",beef,,"onion, pepper",mozzeralla,rice,,https://www.bettycrocker.com/recipes/stuffed-peppers/63e29e18-903e-467c-aec5-fba4ce3a138f
Hasselback Potatoes with Garlic and Herb Butter,oven,"kosher, halal, gluten free, ",,,potatos,butter. parmesan,,,https://themodernproper.com/hasselback-potatoes-with-garlic-and-herb-butter
Greek Chicken Freezer Meal,oven,"kosher, halal, gluten free,",chicken,,potatos,,,,https://themodernproper.com/greek-chicken-freezer-meal
Garlic Roasted Potatoes,oven,"kosher,gluten free, peanut free, dairy free, vegan",,,potatos,,,,https://www.foodnetwork.com/recipes/ina-garten/garlic-roasted-potatoes-recipe-1913067
Oven-Roasted Asparagus,oven,"kosher,gluten free, peanut free",,,asparagus,parmesan,,,https://www.allrecipes.com/recipe/214931/oven-roasted-asparagus/
Sautéed Asparagus,skillet,"kosher,gluten free, peanut free",,,asparagus,"butter, parmesan",,,https://www.thepioneerwoman.com/food-cooking/recipes/a38985039/sauteed-asparagus-recipe/
cheesy garlic roasted asparagus,skillet,"kosher,gluten free, peanut free",,,asparagus,mozzarella,,,https://cafedelites.com/cheesy-garlic-roasted-asparagus/
Sautéed Green Beans with Garlic,skillet,"kosher,gluten free, peanut free, dairy free, vegan,halal",,,string beans,,,,https://www.recipetineats.com/garlic-sauteed-green-beans/
Buttery Garlic Green Beans,skillet,"kosher,gluten free, peanut free",,,string beans,butter,,,https://www.allrecipes.com/recipe/230103/buttery-garlic-green-beans/
Classic Green Bean Casserole,skillet,"kosher,peanut free,vegetarian",,,string beans," butter,milk",flour,,https://www.delish.com/holiday-recipes/thanksgiving/a55340/easy-homemade-classic-green-bean-casserole-recipe/
Caramelized Broccoli with Garlic,skillet,"kosher,gluten free, peanut free, dairy free, vegan,halal",,,broccoli,,,,https://www.foodandwine.com/recipes/caramelized-broccoli-garlic
Healthy Mac and Cheese with Broccoli,pot,"kosher,gluten free, peanut free",,,broccoli,"cheddar, mozzarella",flour,,https://www.acouplecooks.com/healthy-mac-and-cheese-broccoli/
Grilled Spring Onions,skillet,"kosher,gluten free, peanut free, dairy free, vegan,halal",,,spring onion,,,,https://www.thespruceeats.com/how-to-grill-spring-onions-4120094
Teriyaki tofu with charred spring onions,skillet,"kosher,gluten free, peanut free, dairy free, vegan,halal",tofu,,spring onion,,rice,,https://www.bbcgoodfood.com/recipes/charred-spring-onions-teriyaki-tofu
Bread Pudding Pie,"skillet,oven","kosher,gluten free, peanut free, vegatarian",egg,,,"milk, butter",bread,,https://www.tasteofhome.com/recipes/bread-pudding-pie/
Hot Milk Cake,oven,"kosher,, peanut free, vegatarian",egg,,,"milk,butter",flour,,https://www.tasteofhome.com/recipes/hot-milk-cake/
Chicken Provolone,oven,"halal, peanut free",chicken,,,provolone,,,https://www.tasteofhome.com/recipes/chicken-provolone/
RANCH CHICKEN AND SWISS SLIDERS,oven,"halal, peanut free",chicken,,onion,swiss,,,https://www.averiecooks.com/ranch-chicken-swiss-sliders/
Cherry Tomato Mozzarella Saute,oven,"halal, peanut free",,,,mozzarella,,,https://www.tasteofhome.com/recipes/cherry-tomato-mozzarella-saute/
Creamy Tuscan Chicken,oven,"halal, peanut free",chicken,,onion,"parmesan,heavy cream",,,https://tasty.co/recipe/creamy-tuscan-chicken
cheddar roasted tomatoes,oven,"kosher,gluten free, peanut free, vegatarian",,,,cheddar,,,https://www.healthyseasonalrecipes.com/cheddar-roasted-tomatoes/
Seasoned Rice,oven,"kosher,gluten free, peanut free, vegatarian",,,,butter,rice,,https://www.africanbites.com/seasoned-rice/
Greek Potato Casserole,oven,"kosher,gluten free, peanut free, vegatarian",,,potato,"butter,parmesan",bread crumbs,,https://www.tasteofhome.com/recipes/greek-potato-casserole/
Best Ever Mac & Cheese,oven,"kosher,gluten free, peanut free, vegatarian",,,onion,"butter, cheddar. 1/2 1/2,milk","bread, pasta",,https://www.tasteofhome.com/recipes/best-ever-mac-cheese/
Oats Upma ,skillet,"kosher,gluten free, peanut free, vegatarian",,,onion,,oats,,https://www.vegrecipesofindia.com/oats-upma-recipe/
Spaghetti Carbonara,pot,"khoser, peanut free","pork, eggs",,,,pasta,,https://www.aheadofthyme.com/spaghetti-carbonara/
Tortilla Chips,,,,,,,tortillas,,https://www.foodnetwork.com/recipes/food-network-kitchen/tortilla-chips-recipe-3361498
"Dessert Quesadilla
",,,egg,banana,,butter,tortillas,,https://www.foodnetwork.com/recipes/food-network-kitchen/dessert-quesadilla-5273792
